,title,description,type,rating
2126,Fate/EXTRA Last Encore,"Hakuno Kishinami finds himself in the midst of a Holy Grail war with no memories of how he got there. Through his confusion, he must fight to survive.",TV Show,TV-MA
2127,Fate/Grand Order -First Order-,"Discovering that humanity is facing extinction, a new recruit to the Chaldea Security Organization goes back in time in order to save the future.",Movie,TV-14
2128,Fate/stay night: Unlimited Blade Works,High school students Rin and Shiro pair up as allies when they're chosen to compete in a secret tournament for possession of the Holy Grail.,TV Show,TV-14
2129,Fate/Zero,"After three unsettled battles for the mystical Holy Grail, an artifact that grants a miracle to those who hold it, a fourth war begins.",TV Show,TV-MA
2130,Father Brown,"A modest, compassionate priest doubles as an effective crime solver in this series based on the short stories by G.K. Chesterton.",TV Show,TV-14
2131,Father of the Year,A drunken debate between two recent college grads about whose father would win in a fight leads to mayhem when their dads take the challenge seriously.,Movie,TV-MA
2132,Father Soldier Son,"After a single father is severely wounded in Afghanistan, he and his sons embark on a journey of sacrifice and a search for redemption.",Movie,R
2133,Fatso,"Killed too soon due to a clerical error in heaven, a man is sent back to earth with a new lease on life, this time in the body of his portly friend.",Movie,TV-14
2134,Fauda,"A top Israeli agent comes out of retirement to hunt for a Palestinian militant he thought he'd killed, setting a chaotic chain of events into motion.",TV Show,TV-MA
2135,Fear and Loathing in Las Vegas,A sportswriter and his Samoan lawyer embark on a hallucinogenic three-day romp from Los Angeles to Las Vegas in this counterculture cult favorite.,Movie,R
2136,Fear City: New York vs The Mafia,"Five Mafia families ruled New York with a bloody fist in the 1970s and '80s, until a group of federal agents tried the unthinkable: taking them down.",TV Show,TV-MA
2137,Fear Files... Har Mod Pe Darr,"Possessed lovers, witches, haunted houses and more bring tales of horror to the screen in this anthology series.",TV Show,TV-MA
2139,Feel Good,"Stand-up comic Mae Martin navigates a passionate, messy new relationship with her girlfriend, George, while dealing with the challenges of sobriety.",TV Show,TV-MA
2140,Feel Rich,"Talking squarely to the hip-hop generation, musicians, athletes and others outline the benefits of exercise, a healthy diet and spiritual wellness.",Movie,TV-MA
2142,Felipe Esparza: Bad Decisions,"Two live performances, one in English and one in Spanish. No matter the language, Felipe Esparza is muy muy.",TV Show,TV-MA
2143,Felipe Esparza: They're Not Going to Laugh at You,"""Last Comic Standing"" winner Felipe Esparza runs riot in his first comedy special with his wry comments on life as a wild man from East Los Angeles.",Movie,TV-MA
2144,Felipe Neto: My Life Makes No Sense,"YouTube sensation Felipe Neto brings the stories from his autobiographical book ""Não Faz Sentido!"" to the stage in this comedy special.",Movie,TV-MA
2145,Felix Lobrecht: Hype,"Felix Lobrecht aims his dark humor at overly polite culture, weird laughter, the sheer awkwardness of a walking baby and more in this stand-up special.",Movie,TV-MA
2146,Feminists: What Were They Thinking?,"Revisiting 1970s photos of women that captured a feminist awakening, this film explores those women's lives and examines the continued need for change.",Movie,TV-MA
2147,Feo pero sabroso,"When an unattractive man gets engaged to a beautiful woman, their families oppose the union and the priest set to perform the ceremony is kidnapped.",Movie,TV-MA
2148,Fernando Sanjiao: Hombre,Argentine actor and comedian Fernando Sanjiao uses humor and impersonations to explore the concepts of masculinity and fatherhood in modern times.,Movie,TV-MA
2149,Ferrari Ki Sawaari,A father winds up involved with a stolen Ferrari as he tries to acquire the money to send his son to the leading cricket academy.,Movie,TV-PG
2150,Ferris Bueller's Day Off,"Ferris convinces his entire school he's at death's door, then hits the streets of Chicago with his girlfriend and best friend for a day of fun.",Movie,PG-13
2151,Fida,An all-around nice guy finds himself in a dangerous situation after he makes the ultimate sacrifice for the woman he loves in this drama.,Movie,TV-14
2153,Fierce,"A gifted young singer becomes an instant sensation on a popular talent show. But her real goal is earning the love of her father, a member of the jury.",Movie,TV-MA
2155,Fifty Year Old Teenager,The life of a married 50-year-old doctor turns topsy-turvy when he falls in love with a younger woman and begins to act like a teenager.,Movie,TV-14
2156,Fifty: The Series,"Juggling careers and families, four ambitious women faced with unique crises weigh the consequences of their choices as they approach turning 50.",TV Show,TV-14
2158,FIGHTWORLD,"Actor and fight enthusiast Frank Grillo travels the world, immersing himself in different fight cultures to understand their traditions and motivations.",TV Show,TV-MA
2159,Figures of Speech,"In this documentary, passionate high schoolers travel the country and come of age during a turbulent yearlong prep for a national speech competition.",Movie,TV-PG
2160,Filinta,"In 19th-century Istanbul, a young police officer investigates crimes and falls in love with the daughter of a wealthy merchant conspiring against him.",TV Show,TV-14
2161,Filmworker,Leon Vitali had a thriving acting career most others would envy. Then he gave it all up to devote himself completely to the vision of Stanley Kubrick.,Movie,TV-MA
2162,Filosofi Kopi The Movie,The level-headed owner of a struggling coffee shop finds his future at risk when his partner – a talented but cocky barista – makes a major bet.,Movie,TV-PG
2163,Final Destination,"After narrowly avoiding a fatal plane explosion, a group of seemingly lucky teen classmates finds that Death is not so easily cheated.",Movie,R
2164,Final Destination 2,"On a road trip with friends, Kimberly has a premonition that saves everyone from a freak accident. More terrifying visions prompt her to seek help.",Movie,R
2165,Final Destination 3,"When a girl prevents her premonition of a deadly roller-coaster mishap from coming true, the survivors must face the consequences of cheating death.",Movie,R
2166,FINAL FANTASY XIV Dad of Light,A father and son rekindle their bond through the online role-playing game Final Fantasy XIV in this live-action series based on a true story.,TV Show,TV-PG
2167,Finally Found Someone,"After a woman is very publicly left at the altar, the PR expert hired to fix the situation winds up falling in love with her.",Movie,TV-14
2168,Find Yourself,"A determined entrepreneur navigates a love triangle between a young charmer and an older executive, leading her down an unconventional path to love.",TV Show,TV-14
2169,Finding Agnes,"On an emotional journey in Morocco, an entrepreneur pieces together the turbulent life of his estranged mother and meets her adopted daughter.",Movie,TV-PG
2170,Fire at Sea,"Heartbreak, hope and nostalgia collide in this complex portrait of Lampedusa, a Mediterranean island where thousands of migrants land each year.",Movie,TV-14
2171,Fire Chasers,"As California's 2016 fire season rages, brave backcountry firefighters race to put out the flames, protect homes and save lives in this docuseries.",TV Show,TV-MA
2172,Fire in Paradise,"In this documentary, survivors recall the catastrophic 2018 Camp Fire, which razed the town of Paradise and became California’s deadliest wildfire.",Movie,TV-MA
2173,Fire in the Blood,Dylan Mohan Gray examines Africa's AIDS crisis and activists' battle with pharmaceutical companies to make life-saving HIV drugs more affordable.,Movie,TV-14
2174,Firebrand,"While she successfully advocates for her female clients in difficult divorce cases, a lawyer’s trauma from sexual assault impacts her own marriage.",Movie,TV-MA
2175,Fireflies,"Grappling with love and loss in their respective lives, two estranged brothers must confront their traumatic, unresolved past when they cross paths.",Movie,TV-MA
2176,Fireman Sam,"Sharing valuable lessons in fire safety for preschoolers, Fireman Sam and his animated crew from Pontypandy, Wales, are ready for any emergency.",TV Show,TV-Y
2179,Fireworks,"Middle schooler Nazuna desperately wants to run away with her classmate Norimichi, who somehow turns back time on this fateful summer's day.",Movie,TV-PG
2180,First and Last,Take an intimate look at the emotionally charged first and last days of new and soon-to-be released inmates at Georgia's Gwinnett County Jail.,TV Show,TV-MA
2181,First Impression,"Unaware they’ve matched online, a struggling writer embellishes his lifestyle to impress a successful exec with whom he sparks an unexpected romance.",Movie,TV-14
2182,First Kill,"A stock broker brings his young son back to the town where he grew up for a hunting trip, but things take a dangerous turn when they witness a crime.",Movie,R
2183,First Kiss,A starry-eyed employee of a hot cosmetics company hires a dreamy photographer who is secretly indebted to a major rival – her sketchy aunt.,Movie,TV-14
2184,First Love,A chance encounter soon intertwines the lives of a reserved businessman and a vibrant photographer who is living with a grave heart condition.,Movie,TV-MA
2185,First Match,A tenacious high school girl raised in foster homes in the inner city tries to reconnect with her ex-con father by joining a boys wrestling team.,Movie,TV-MA
2186,First Team: Juventus,Follow renowned soccer club Juventus on and off the pitch as they attempt to win a seventh straight Italian title and achieve Champions League glory.,TV Show,TV-PG
2187,First They Killed My Father,A 5-year-old girl embarks on a harrowing quest for survival amid the sudden rise and terrifying reign of the Khmer Rouge in Cambodia.,Movie,TV-MA
